time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1000,0,0,0,11,1
1161.07,0,0,0,11,1
4221.24,0,0,0,11,1
4274.92,0,0,0,11,1
4274.92,0,0,0,11,1
9589.94,0,0,0,11,1
9589.94,0,0,0,11,1
9589.94,0,0,0,11,1
9589.94,0,0,0,11,1
9589.94,0,0,0,12,0
